qid	docid	docno	rank	score	raw_query	query	document
E14	8080	552004809469865984	0	32.70272819346341	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	مقتل رجلي امن سعوديين على الحدود مع العراق http://t.co/srAfpSdL3b
E14	8984	552094328370520066	1	31.25144916393764	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	أ ش أ: استشهاد رجلي أمن سعوديين ومقتل إرهابيين على الحدود مع العراق #Egypt
E14	8372	552035542972776449	2	31.25144916393764	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	مقتل رجلي امن سعوديين على الحدود مع #العراق http://t.co/buU6DWZvVp via @aljadeednews #لبنان More on http://t.co/NVGLbJKlrz
E14	9055	552103916771770368	3	31.25144916393764	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	مقتل رجلي أمن سعوديين في هجوم قرب حدود مع العراق http://t.co/DP5fc3RYma
E14	8760	552067685614247939	4	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/3P5y9rXLHv #العراق
E14	8756	552067644950454273	5	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/jRwJDegN3G #العراق
E14	8758	552067661434077184	6	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/q3dBUVWIOa #العراق
E14	8759	552067677288529921	7	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#قطر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/po4Kl1W7Sy #العراق
E14	8461	552049587288952832	8	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/KQZ0X0TGLh #العراق
E14	8462	552049608457601024	9	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/EIAvIIKamn #العراق
E14	8463	552049700845522944	10	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#مصر مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هج... http://t.co/P5kTflHyoJ #العراق
E14	8533	552053877436985345	11	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#العراق مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديي... http://t.co/po4Kl1W7Sy #الامارات
E14	8553	552054226243690496	12	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/3tluhlXpSc #العراق
E14	8554	552054255599620096	13	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/qekqsmd6TH #العراق
E14	8555	552054259726815232	14	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#لبنان مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في ... http://t.co/pJdhjT9n61 #العراق
E14	8623	552057173807607808	15	31.001189665884937	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#العراق مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ... http://t.co/KQZ0X0TGLh #Kuwait
E14	8822	552070932156534784	16	30.43847909340264	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/qQ057xi7Ss #Dubai
E14	8821	552070919330336768	17	30.43847909340264	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#Riyadh مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجوم ب... http://t.co/nTfAlW12F1 #Dubai
E14	8814	552070542459543553	18	30.43847909340264	مقتل رجلي أمن سعوديين على حدود العراق	مقتل رجل سعودي حدود عراق	#Dubai مقتل رجلي امن سعوديين في هجوم بمنطقة الحدود الشمالية مع العراق: مقتل رجلي امن سعوديين في هجو... http://t.co/bGYWcb4kxm #AbduDhabi
